saleNumber,lot,title,artist,objectNumber
UK010120,1,The Lemon Bathing Suit,Amoako Boafo ,137708
UK010120,2,Four Buns,Julie Curtiss ,138200
UK010120,3,Princess,Tschabalala Self ,139230
UK010120,4,Neanderthal Jeans,Eddie Martinez ,137293
UK010120,5,Untitled,Katharina Grosse ,137844
UK010120,6,INFINITY-NETS (KSUZL),Yayoi Kusama ,137915
UK010120,7,Affirmation,El Anatsui ,137749
UK010120,8,The Young,Jia Aili ,137820
UK010120,9,God Knows Where,Ed Ruscha ,139420
UK010120,10,Untitled,Keith Haring ,137917
UK010120,11,AUFSTAND DER SPIELER,A.R. Penck ,138388
UK010120,12,Untitled,G�nther F�rg ,138102
UK010120,13,Untitled,Rudolf Stingel ,137775
UK010120,14,Blade,Anish Kapoor ,137446
UK010120,15,Full,Michael Craig-Martin ,137155
UK010120,16,Antipyrylazo III,Damien Hirst ,137141
UK010120,17,Bodies,Damien Hirst ,137142
UK010120,18,CITY FAIRIES,Gilbert & George ,137156
UK010120,19,Summer Breeze,Damien Hirst ,137143
UK010120,20,"Beautiful tropical, jungle painting (with pink snot)",Damien Hirst ,137144
UK010120,21,Magnolia Door One,Gary Hume ,137157
UK010120,22,Camp Forestia,Peter Doig ,138128
UK010120,23,Girl Eating Turtle Dove,Cecily Brown ,138238
UK010120,24,Robe Green Gold,Sean Scully ,138171
UK010120,25,WLID,Frank Stella ,138553
UK010120,26,Gray Bow,Alex Katz ,137690
UK010120,27,Reverse Drawing: Bedroom Blonde with Irises,Tom Wesselmann ,137625
UK010120,28,Untitled,Micha�l Borremans ,139239
UK010120,29,Pie Fight Study 4,Adrian Ghenie ,139233
UK010120,30,Chained to the Bed for 15 Years,Marlene Dumas ,138162
UK010120,31,Cosmic Power,Takashi Murakami ,136449
UK010120,32,FAR AWAY FRIENDS,KAWS ,124865
UK010120,33,Dragon Heads - Gold,Takashi Murakami ,136676
UK010120,34,FINAL DAYS,KAWS ,138087
UK010120,35,Sky Mirror,Anish Kapoor ,136674
UK010120,36,Hellepoort,Raoul de Keyser ,137548
UK010120,37,Moules,Marcel Broodthaers ,138500
UK010120,38,Pornografia due,Carol Rama ,137731
UK010120,40,OPA?KA 1965/1 � ? DETAIL 4514079 � 4536373,Roman Opa?ka ,137916
UK010120,41,ON TIME,KAWS ,137040
UK010220,101,Group Portrait on the Stairs,Genieve Figgis ,138390
UK010220,102,Untitled (from the Deserto-Modelo series),Lucas Arruda ,137094
UK010220,103,Young Pilcher and Vietnam,Nathaniel Mary Quinn ,138446
UK010220,104,Untitled,Eddie Martinez ,138110
UK010220,105,UNTITLED,KAWS ,138091
UK010220,106,UNTITLED,KAWS ,138222
UK010220,107,Entitlement,Eddie Martinez ,137531
UK010220,108,"Cannibalistic, noisy and abusive, but picturesque and popular withal",Hernan Bas ,135152
UK010220,109,Untitled,Secundino Hern�ndez ,137688
UK010220,110,Untitled (Seascape),Harold Ancart ,138322
UK010220,111,Untitled,Katharina Grosse ,137995
UK010220,112,Untitled,Harold Ancart ,138103
UK010220,113,"Father, Son",Henry Taylor ,138323
UK010220,114,"UNTITLED (CHUM), PACKAGE PAINTING SERIES (SM18)",KAWS ,138090
UK010220,115,"UNTITLED (CHUM), PACKAGE PAINTING SERIES (SM3)",KAWS ,138219
UK010220,116,I think that drumline was nick cannon's best acting role,Walter Price ,138158
UK010220,117,Untitled (3),Lesley Vance ,137931
UK010220,118,Mature #5,Tomoo Gokita ,138088
UK010220,119,Five works: (i) Blakam's stone (watermelon); (ii) Blakam's stone (lemon); (iii) Blakam's stone (orange); (iv) Blakam's stone (pear); (v) Blakam's stone (apple),Nicolas Party ,137962
UK010220,120,KAWS Chair Black,KAWS and Estudio Campana ,138089
UK010220,121,Plan-B My Story,Harland Miller ,136213
UK010220,122,"Kate Valk, as Brutus Jones in The Emperor Jones",Alex Katz ,138061
UK010220,123,Surfer,Duane Hanson ,137713
UK010220,124,Warhol Flowers,Sturtevant ,138105
UK010220,125,Warhol Flowers,Sturtevant ,138106
UK010220,126,How did we get there?,David Salle ,138104
UK010220,127,Yuka,Oscar Murillo ,138182
UK010220,128,Frank,Joe Bradley ,137996
UK010220,129,PEEK,KAWS ,138221
UK010220,130,Untitled (Flat),Alex Israel ,138387
UK010220,131,Untitled,Kara Walker ,137906
UK010220,132,Untitled,Kara Walker ,137905
UK010220,133,L�artiste au m�gaphone (the artist with megaphone),William Kentridge,137596
UK010220,134,Soho Headquarters,William Kentridge ,137901
UK010220,135,Untitled,Louise Bourgeois ,137753
UK010220,136,Spiral,Louise Bourgeois ,137754
UK010220,137,In Red and pale-RFGA,Ghada Amer ,137751
UK010220,138,Untitled 1 (from the King's Harem series),Halim Al Karim ,137750
UK010220,139,Bucket,Subodh Gupta ,137755
UK010220,141,Romy,Manolo Vald�s ,138241
UK010220,142,Black Tulips,Manolo Vald�s ,138217
UK010220,144,GRAPES,Ai Weiwei ,138496
UK010220,145,Red Refrigerator,Allen Jones ,138483
UK010220,146,Pope,Grayson Perry ,137172
UK010220,147,I'm So Tired,Damien Hirst ,137145
UK010220,148,AIDS,Damien Hirst ,137146
UK010220,149,Imagine you are driving. 4.,Julian Opie ,137167
UK010220,150,Piet�,Sam Taylor-Johnson ,137176
UK010220,151,"Two works: (i) Antonius, a horse belonging to his grace the Duke of Grafton; (ii) The Marquess of Rockingham's scrub with John Singleton Up",Mat Collishaw ,137158
UK010220,152,The Great Bear,Simon Patterson ,137169
UK010220,153,"Rodrigo Borgia, Lucrezia Borgia, Cesare Borgia",Simon Patterson ,137168
UK010220,154,"Untitled, 7.4. 87",Bob Law ,137164
UK010220,155,Untitled,Ian Davenport ,137160
UK010220,156,Narrative Painting,Michael Craig-Martin ,137159
UK010220,157,Girls,Sarah Morris ,137165
UK010220,158,Fuck,Sarah Morris ,137166
UK010220,159,Hooded,Gilbert & George ,137774
UK010220,160,"Saint Jude, the Apostle",Damien Hirst ,139240
UK010220,161,Fold,Anish Kapoor ,137717
UK010220,162,The Crack,Micha�l Borremans ,139241
UK010220,163,Solitude,Luc Tuymans ,138099
UK010220,164,The Shirt,Micha�l Borremans ,139129
UK010220,165,The Fertile Crescent,Anselm Kiefer ,137938
UK010220,166,Landschaft mit Sendeturm,Neo Rauch ,138143
UK010220,167,Untitled,Thomas Sch�tte ,137581
UK010220,168,Untitled,G�nther F�rg ,138101
UK010220,169,Vermalung (Braun),Gerhard Richter ,138452
UK010220,170,Untitled,G�nther F�rg ,136382
UK010220,171,Untitled,G�nther F�rg ,137744
UK010220,172,Untitled (f�r Brigitte),A.R. Penck ,136158
UK010220,173,"Feuer, Augen, Mann",A.R. Penck ,138229
UK010220,174,Stele,A.R. Penck ,138160
UK010220,175,Experiment,A.R. Penck ,138161
UK010220,176,Untitled,Jef Verheyen ,138213
UK010220,177,Rue Ren� Magritte Straat,Marcel Broodthaers ,137577
UK010220,178,Arch�types,Walter Leblanc ,137580
UK010220,179,Krijthoekcorrectie,Raoul de Keyser ,138479
UK010220,180,La Victoire de Samothrace,Yves Klein ,138212
UK010220,181,Flare,John McCracken ,137718
UK010220,182,Emergency Numbers,Ed Ruscha ,137721
UK010220,183,�Titled (Art as Idea as Idea)� [ephemeral] (Ety.),Joseph Kosuth ,138422
UK010220,184,Friday,Urs Fischer ,137847
UK010220,185,Untitled (Leaves),Alex Katz ,137928
UK010220,186,A. B. Borisova: And Pick the Shoes from the Repair Shop Today!,Ilya Kabakov ,136628
UK010220,187,Bedroom Face with Green Wallpaper (Variation),Tom Wesselmann ,137988
UK010220,188,Little Tree,Beatriz Milhazes ,137719
UK010220,189,Facing within,Sam Francis ,139100
UK010220,190,Site au D�funt,Jean Dubuffet ,137985
UK010220,191,Four Young People,L.S. Lowry ,138454
UK010220,192,Untitled,Roberto Matta ,138455
UK010220,193,Personnage Insectiforme,Julio Gonz�lez ,137022
UK010220,194,Untitled,Roberto Matta ,137019
UK010220,195,Untitled Composition,Fernand L�ger ,138047
UK010220,196,Study for Pastorale,Jacques Lipchitz ,137987
UK010220,197,Figure,Nicolas de Sta�l ,137193
UK010220,198,Linea di velocit� pi� paesaggio,Giacomo Balla ,136432
UK010220,199,Suor Maria,Mimmo Rotella ,136379
UK010220,200,Litterings,Mimmo Rotella ,128661
UK010220,201,Attirare l' Attenzione,Alighiero Boetti ,137194
UK010220,202,Landscape and Bindu,Sayed Haider Raza ,137701
UK010220,203,After We Have Gone,Tony Cragg ,136364
UK010220,204,Day by Day,Damien Hirst ,137947
UK010220,205,Untitled (Bib),Tracey Emin ,138414
UK010220,206,The Selfish Gene,Marc Quinn ,135362
UK010220,207,CLUTCH 1 (MEME) II,Antony Gormley ,137712
UK010220,208,Untitled (Black Books),Rachel Whiteread ,137730
UK010220,209,Drawing 30 (after Gossaert),Glenn Brown ,137953
UK010220,210,Drawing 29 (after Dell'Abate),Glenn Brown ,137951
UK010220,211,Untitled,George Condo,137046
UK010220,212,The Joker,George Condo ,138239
UK010220,213,Untitled,Eric Fischl ,137454
UK010220,214,Untitled,Julian Schnabel ,138391
UK010220,215,Feathered,Wolfgang Tillmans ,136786
UK010220,216,Victoria,Wolfgang Tillmans ,137904
UK010220,217,"Punta Hicacos, Varadero, Cuba, February 14, 2000",Christopher Williams ,137723
UK010220,218,Untitled #174,Cindy Sherman ,135278
UK010220,219,Untitled #254,Cindy Sherman ,135184
UK010220,220,Walking Pocket Watch (color)/ The Music of Regret,Laurie Simmons ,138049
UK010220,221,"FedEx� Large Box, Los Angeles - New York TRK- , Saltsj�baden - London TRK-777236485934",Walead Beshty ,136092
UK010220,222,C20.H25.N3O (TRIP),Vasily Klyukin ,137682
UK010220,223,"You seem unrelated to the world of apppearances. I told him. After a brief moment of silence he replied: ""On Sundays I may not allow myself to be seen on the streets, for I have no Sunday clothes. In my steady and thrifty life I am like a field mouse",Rinus Van de Velde ,138485
UK010220,224,Pitons of St Lucia,Marc Quinn ,139205
UK010220,225,Untitled,Farhad Moshiri ,138107
UK010220,226,Untitled,Subodh Gupta ,137456
UK010220,227,Gutron in Cage,Magdalena Abakanowicz ,138444
UK010220,229,Two works: (i) Contemporary Terracotta Warriors No.5; (ii) Contemporary Terracotta Warriors No.5,Yue Minjun ,137457
UK010220,231,Un,Bernard Frize ,137990
UK010220,232,Untitled,Gerd Leufert ,137020
UK010220,233,Yellow Prison,Peter Halley ,137986
UK010220,234,Tableau Clous,Bernard Aubertin ,136349
UK010220,235,Garden Shears,Sue Williams ,137248
UK010220,236,Untitled (History painting),Korakrit Arunanondchai ,137997
UK010220,237,Untitled,Wyatt Kahn ,137998
UK010220,238,Being Sinks Into Mere Stuff,Ida Ekblad ,137846
UK010220,239,�good the doom� (2nd study),Toby Ziegler ,135168
UK010220,240,8,Garth Weiser ,137460
UK010220,241,Scion,Jason Martin ,137461
UK010220,242,Vert a levres,Aboudia ,136091
UK010220,243,Statues in the Park,Mira Dancy ,135157
UK010220,244,Sandra,Richard Hambleton ,137707
UK010220,245,IR 41?7,Stanley Casselman ,136208
UK010220,246,Untitled,Anselm Reyle ,137945
UK010220,247,Ella,Gerhard Richter ,136093
UK010220,248,Hell Is Empty,The Connor Brothers ,136602
UK010220,249,Bonbon,Laurence Jenkell ,137950
UK010220,250,Three works: (i) SMALL LIE (Brown); (ii) SMALL LIE (Black); (iii) SMALL LIE (Grey),KAWS ,137041
